optimizer_step,lead_days,metric,field,region,mean,p10,p90
3840,0,rmse,qx,wet,3.0088250336843244e-07,2.955985737365219e-07,3.1011950056997044e-07
3840,10,rmse,qx,wet,0.24670093594402906,0.2144059417976252,0.27821682276130993
3840,20,rmse,qx,wet,0.35945083901526487,0.3221055594173283,0.4007000224521559
3840,30,rmse,qx,wet,0.4652656990509852,0.4097711975843149,0.5328753205996307
3840,40,rmse,qx,wet,0.5679863763127809,0.5016778077432089,0.6400295071443559
3840,50,rmse,qx,wet,0.6658819240085171,0.5839917814709805,0.7426240512271066
3840,60,rmse,qx,wet,0.7362308855961304,0.6227267557631323,0.8694179493312842
3840,70,rmse,qx,wet,0.7991072049138795,0.6491050487710046,0.9216003694524266
3840,80,rmse,qx,wet,0.8472047080290661,0.6898049061872753,0.9539916774073802
3840,90,rmse,qx,wet,0.894181538873738,0.7480380248015337,1.0299972357162894
3840,100,rmse,qx,wet,0.9572183059873685,0.835625854801486,1.0662793706165012
3840,110,rmse,qx,wet,1.0211023547397386,0.9102241147294373,1.1092089535050706
3840,120,rmse,qx,wet,1.0791807518028662,0.9758661028589863,1.1849724554905003
3840,130,rmse,qx,wet,1.1186701429790606,1.0315150984102874,1.2655851532268525
3840,140,rmse,qx,wet,1.1729947996457553,1.0637969746508593,1.2983571974725916
3840,150,rmse,qx,wet,1.2252947010878945,1.0615904734913992,1.351550715920095
3840,160,rmse,qx,wet,1.2827508611037124,1.154252092478992,1.4619653753804949
3840,170,rmse,qx,wet,1.3455332411536856,1.2165121576659754,1.4592035820599718
3840,180,rmse,qx,wet,1.3888438940166508,1.2633905783080768,1.5597328736042846
3840,190,rmse,qx,wet,1.4086438980008065,1.289243654030541,1.5316968743560064
3840,200,rmse,qx,wet,1.4576619773718678,1.3299763073394342,1.5915439265413502
3840,210,rmse,qx,wet,1.5537390106514866,1.3540641558798332,1.698129612993505
3840,220,rmse,qx,wet,1.6338223818945183,1.4870787299946433,1.73953095622416
3840,230,rmse,qx,wet,1.68326631305529,1.5504505043215224,1.8184009310642102
3840,240,rmse,qx,wet,1.7394718818502655,1.5888435097086875,1.8605783880308342
3840,250,rmse,qx,wet,1.7850695416539544,1.6068104247995423,1.9867023270950128
3840,260,rmse,qx,wet,1.83070910141507,1.669559833477578,1.965220258044713
3840,270,rmse,qx,wet,1.9136065770267456,1.7409976703243013,2.085404510986104
3840,280,rmse,qx,wet,2.008247825152989,1.8615371499418611,2.194578376469714
3840,290,rmse,qx,wet,2.064959933156753,1.8987209907864708,2.2421286619569156
3840,300,rmse,qx,wet,2.0913188406631296,1.92424603192906,2.2210543537276206
3840,310,rmse,qx,wet,2.1507774895609106,1.9817953601183351,2.2952024448718413
3840,320,rmse,qx,wet,2.2605309232327446,2.0088049943606423,2.4691415805147607
3840,330,rmse,qx,wet,2.36256586350266,2.080241097378966,2.678229937046536
3840,340,rmse,qx,wet,2.468734553571236,2.171294597490797,2.739067132172645
3840,350,rmse,qx,wet,2.5809593246230844,2.3390789890597317,2.8527881673900426
3840,360,rmse,qx,wet,2.6668392036333564,2.4578954322974496,2.8982894393386287
3840,370,rmse,qx,wet,2.7732829407047768,2.499993267828163,2.9778965080753244
3840,380,rmse,qx,wet,2.928229049074438,2.5964991823201347,3.211440250624189
3840,390,rmse,qx,wet,3.081324915331143,2.793461390202746,3.3801432202845856
3840,400,rmse,qx,wet,3.204017526048864,2.9777328320819514,3.428409658089365
3840,410,rmse,qx,wet,3.3288879676177765,3.0036176282182203,3.648813806544693
3840,420,rmse,qx,wet,3.4280691798763976,3.0333229826691963,3.709097767734442
3840,430,rmse,qx,wet,3.533952292105943,3.056886651427951,3.8857772375850805
3840,440,rmse,qx,wet,3.6980834521243016,3.2721304168639116,4.202625269697523
3840,450,rmse,qx,wet,3.880703772055074,3.354673181258308,4.366361146930723
3840,460,rmse,qx,wet,4.023295714326519,3.3687066538162136,4.438791462458664
3840,470,rmse,qx,wet,4.159325383825346,3.4433086487377076,4.750318626787089
3840,480,rmse,qx,wet,4.331954020815247,3.552627245317792,5.0208949195324015
3840,490,rmse,qx,wet,4.546588262593299,3.6562882426543784,5.324484271863439
3840,500,rmse,qx,wet,4.729464212094204,3.792680229999871,5.605519351966084
3840,510,rmse,qx,wet,4.917591804625568,4.010825748048737,5.884068739919545
3840,520,rmse,qx,wet,5.144513267904906,4.229448657897835,6.12916379704604
