field,mode,truth_energy,model_energy,model_over_truth,frozen_valid,band
phihyd_mid,1,23063.49748263889,23442.66694878472,1.0164402414001281,True,large_k1_to_k5
phihyd_mid,2,3919.3315158420137,4236.831510416667,1.081008711126199,True,large_k1_to_k5
phihyd_mid,3,50.461183081732855,107.97468049791124,2.139757213441127,True,large_k1_to_k5
phihyd_mid,4,9.998850361506145,20.135339291890464,2.013765439415721,True,large_k1_to_k5
phihyd_mid,5,0.6196658644411299,10.704649204678006,17.274873151730596,True,large_k1_to_k5
phihyd_mid,6,0.5885874860816531,3.6803019205729166,6.252769567143598,True,intermediate_or_invalid
phihyd_mid,7,0.3303435891866684,4.510706355836656,13.654590261437692,True,intermediate_or_invalid
phihyd_mid,8,0.18896846257978014,2.9422357108857895,15.569982793523623,True,intermediate_or_invalid
phihyd_mid,9,0.09615466627809736,2.1431713183720906,22.28879160345309,True,intermediate_or_invalid
phihyd_mid,10,0.03240703567862511,1.2211392442385356,37.68130033084048,True,tail_k10_plus
phihyd_mid,11,0.015206665866490868,0.8767003834247589,57.65237371044233,True,tail_k10_plus
phihyd_mid,12,0.006160216199027168,0.6566615031825171,106.59715210745661,True,tail_k10_plus
phihyd_mid,13,0.0031232261875023446,0.4762258556154039,152.47882382679543,True,tail_k10_plus
phihyd_mid,14,0.001906537868651665,0.36835285027821857,193.20510561834462,True,tail_k10_plus
phihyd_mid,15,0.0010195749443179618,0.37184609009159936,364.7069714334177,True,tail_k10_plus
phihyd_mid,16,0.0005805959954159334,0.27827901736729677,479.29889211161424,True,tail_k10_plus
phihyd_mid,17,0.0002814230117817513,0.18006504302223522,639.8376660181541,True,tail_k10_plus
phihyd_mid,18,0.00016008671502479248,0.12245787423517969,764.947136408007,False,intermediate_or_invalid
phihyd_mid,19,9.961365827216973e-05,0.09135048867513736,917.0478251641426,False,intermediate_or_invalid
phihyd_mid,20,6.519545382212123e-05,0.08833131391762031,1354.8692238361095,False,intermediate_or_invalid
phihyd_mid,21,4.192783114073488e-05,0.08718512331446011,2079.4093312819996,False,intermediate_or_invalid
phihyd_mid,22,3.768235813671102e-05,0.07025128540893395,1864.301728518777,False,intermediate_or_invalid
phihyd_mid,23,3.495702613791865e-05,0.04562570855228437,1305.1942225369444,False,intermediate_or_invalid
phihyd_mid,24,3.6228923838482134e-05,0.035890382818049855,990.6555043715463,False,intermediate_or_invalid
phihyd_mid,25,4.3863307453446196e-05,0.040667668936981094,927.145518612413,False,intermediate_or_invalid
phihyd_mid,26,6.22686255762043e-05,0.03724553393613961,598.1428623401772,False,intermediate_or_invalid
phihyd_mid,27,9.53554086057314e-05,0.03684641498451432,386.41137952503766,False,intermediate_or_invalid
