scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
training_gate,surface_speed,model,10,0.0004432848281727207,0.19681563074976027,0.11620629449875548
training_gate,surface_speed,model,20,0.0006064242168105449,0.18548926596439155,0.15913026047890033
training_gate,surface_speed,model,30,0.0007186409560812603,0.18451639912013656,0.18861761502438645
training_gate,surface_speed,model,40,0.0008020566046104283,0.17102916311783362,0.21073632031768835
training_gate,surface_speed,model,50,0.000878647781414825,0.17198054238199487,0.23093295634884317
training_gate,surface_speed,model,60,0.0009558669503247882,0.1780062078659604,0.2512672388553346
training_gate,surface_speed,model,70,0.0010108238606739582,0.1839847654594007,0.26611284124203266
training_gate,surface_speed,model,80,0.0010747891312887616,0.19328070762635016,0.28301613169439593
training_gate,surface_speed,model,90,0.0011368125155395655,0.20162896352607104,0.2992834389090243
training_gate,sst,model,10,0.003895129750189544,0.18319672209320634,0.09940638608287425
training_gate,sst,model,20,0.00572999553858406,0.1626619571287416,0.14642474013402257
training_gate,sst,model,30,0.006946158424640695,0.1540300827572241,0.17766319098820238
training_gate,sst,model,40,0.00802681479965233,0.1503794928905407,0.20548417462708687
training_gate,sst,model,50,0.009042520182103747,0.1566215029843089,0.2317142900528114
training_gate,sst,model,60,0.00999590596270368,0.16897839520155977,0.2563476805339838
training_gate,sst,model,70,0.010893473710381874,0.18472098886871044,0.2797721594899199
training_gate,sst,model,80,0.011759755288733652,0.20138007551237602,0.30227654821095135
training_gate,sst,model,90,0.012610822410702154,0.21572964839461375,0.32412558900518196
training_gate,phihyd_surface,model,10,0.0024550353590812946,0.2516713844727081,0.04476540786218794
training_gate,phihyd_surface,model,20,0.003990250754954845,0.26733455729127353,0.07296361741494613
training_gate,phihyd_surface,model,30,0.005531440310921796,0.29530820352998327,0.10132075453908673
training_gate,phihyd_surface,model,40,0.00708466726700189,0.3034780955591979,0.1300754707215965
training_gate,phihyd_surface,model,50,0.008638171919328332,0.32340612226224796,0.15896303727062222
training_gate,phihyd_surface,model,60,0.010176175273954868,0.3492922084229616,0.18759530550373418
training_gate,phihyd_surface,model,70,0.011702989504017212,0.3815410569547276,0.21634413770258695
training_gate,phihyd_surface,model,80,0.013218390714825579,0.4182735766040663,0.24483400648094825
training_gate,phihyd_surface,model,90,0.014719339893027036,0.46185380161972617,0.27306944271910394
training_gate,streamfunction,model,10,0.07405376468819601,0.7522230043693577,0.3371689375942457
training_gate,streamfunction,model,20,0.10930944941248055,0.6198345578818143,0.49902443723680084
training_gate,streamfunction,model,30,0.13581716140249261,0.5575721723496673,0.6192562616365472
training_gate,streamfunction,model,40,0.15398774035964852,0.5076020712786663,0.7024116364556529
training_gate,streamfunction,model,50,0.17096045362176718,0.4912024513573892,0.7805841530837567
training_gate,streamfunction,model,60,0.18614127059225682,0.4891609855229482,0.8485963104268361
training_gate,streamfunction,model,70,0.19679660490817494,0.4922004909382709,0.8996479031035829
training_gate,streamfunction,model,80,0.20701642913950813,0.5060890142900595,0.9458561165858883
training_gate,streamfunction,model,90,0.21639085138837497,0.5295630834178957,0.9866515763980893
fixed_S2_validation_figure,surface_speed,model,0,0.0,nan,0.0
fixed_S2_validation_figure,surface_speed,model,10,0.0005749429382073383,0.18827568238213147,0.17754871330159958
