field,method,lead_days,mean,p10,p90
phihyd_surface,climatology,200,0.07187305093,0.0713343367,0.07251625359
phihyd_surface,persistence,0,0,0,0
phihyd_surface,persistence,10,0.01287191864,0.01113850102,0.01445674151
phihyd_surface,persistence,20,0.0167971092,0.01383285131,0.02085509971
phihyd_surface,persistence,30,0.0215473894,0.01836070083,0.0255685553
phihyd_surface,persistence,40,0.02553026254,0.02067701668,0.02933312319
phihyd_surface,persistence,50,0.02547524932,0.02374810651,0.02849250957
phihyd_surface,persistence,60,0.02983061944,0.02619868405,0.03456636071
phihyd_surface,persistence,70,0.03177366033,0.02674938589,0.03542574793
phihyd_surface,persistence,80,0.02989853968,0.02765384503,0.03203302249
phihyd_surface,persistence,90,0.03154550592,0.02563013509,0.03597809672
phihyd_surface,persistence,100,0.03177172008,0.02799515463,0.03732846081
phihyd_surface,persistence,110,0.02851852104,0.02458636351,0.03156048805
phihyd_surface,persistence,120,0.02349580737,0.0201544378,0.02786983959
phihyd_surface,persistence,130,0.01802715038,0.01376076918,0.02214503996
phihyd_surface,persistence,140,0.01441272584,0.01063050386,0.01688899621
phihyd_surface,persistence,150,0.004392039295,0.003847024497,0.004813095182
phihyd_surface,persistence,160,0.01020012905,0.008683163114,0.01127968933
phihyd_surface,persistence,170,0.01639244712,0.01344369501,0.01970760114
phihyd_surface,persistence,180,0.01973515799,0.01679068357,0.02338385247
phihyd_surface,persistence,190,0.02518856985,0.02061135583,0.0296914082
phihyd_surface,persistence,200,0.02531283324,0.0229505904,0.02820591778
