metric,method,field,lead_days,finite_members,mean,p10,p90
rmse,selected,surface_speed,980,15,0.025749012972221534,0.021661654957065294,0.028020015614106945
rmse,selected,surface_speed,990,15,0.02625860333572699,0.022118439272028705,0.028890327729777333
rmse,selected,surface_speed,1000,15,0.026760121745245922,0.02265680686232895,0.02969317856610454
rmse,selected,surface_speed,1010,15,0.02729030502538017,0.02332964109305886,0.03044933461115274
rmse,selected,surface_speed,1020,15,0.02779376261242363,0.023941340775682992,0.03119830070314253
rmse,selected,surface_speed,1030,15,0.028293200118720937,0.02439951874454018,0.0316675854137872
rmse,selected,surface_speed,1040,15,0.02886887232622654,0.024955219555023268,0.03203455197098349
rmse,selected,surface_speed,1050,15,0.029448188136054956,0.02559646644556465,0.03237551765241995
rmse,selected,surface_speed,1060,15,0.030051350694000757,0.026251044014246744,0.0328705373012575
rmse,selected,surface_speed,1070,15,0.030670734527992086,0.026878902687656234,0.03338899434676742
rmse,selected,surface_speed,1080,15,0.03126815088455976,0.02754453247508441,0.03404286715783736
rmse,selected,surface_speed,1090,15,0.03191163740959069,0.028206640089874464,0.034787702918755666
rmse,selected,surface_speed,1100,15,0.03260860207591424,0.02884126643259467,0.03560342586753727
rmse,selected,surface_speed,1110,15,0.03331609193701907,0.02953445651547231,0.03638662650362353
rmse,selected,surface_speed,1120,15,0.03406303684918561,0.030175183087367843,0.03725138200952059
rmse,selected,surface_speed,1130,15,0.03484118636274088,0.030856045937303355,0.03801402035509078
rmse,selected,surface_speed,1140,15,0.03562622399236118,0.03160042805287999,0.03858238057232518
rmse,selected,surface_speed,1150,15,0.03649159169622216,0.032349760838942,0.039412505391523356
rmse,selected,surface_speed,1160,15,0.03737329099121322,0.0331676586446243,0.04044860775135229
rmse,selected,surface_speed,1170,15,0.03823179713821646,0.033971014874048765,0.0416147942899987
rmse,selected,surface_speed,1180,15,0.03915387658815083,0.034987814951266044,0.04280268245407229
rmse,selected,surface_speed,1190,15,0.04007674886545976,0.03599010336551558,0.04400517748482258
rmse,selected,surface_speed,1200,15,0.040981373266537786,0.03688683543050059,0.04528692065352184
rmse,selected,surface_speed,1210,15,0.04193914310875722,0.03788174196173539,0.046555156925751504
rmse,selected,surface_speed,1220,15,0.04289391986383635,0.03886796895881607,0.047848743526523276
rmse,selected,surface_speed,1230,15,0.043891103573600175,0.03981672336620426,0.04908297104491556
rmse,selected,surface_speed,1240,15,0.04495069584377766,0.04086694047340949,0.05023624506687975
rmse,selected,surface_speed,1250,15,0.04601728798409018,0.041958810456506686,0.0513051603321896
rmse,selected,surface_speed,1260,15,0.04716362573410635,0.043099696730844295,0.05249779255843346
rmse,selected,surface_speed,1270,15,0.04840368401144667,0.04435108991117414,0.05379374507687292
rmse,selected,surface_speed,1280,15,0.049675478487899195,0.045637411793422344,0.055011704974009826
rmse,selected,surface_speed,1290,15,0.05097478952281971,0.046883288934039355,0.056200416125469346
rmse,selected,surface_speed,1300,15,0.05233769647041986,0.048279384694705635,0.057622730126292404
rmse,selected,surface_speed,1310,15,0.05374941487657402,0.04940537241545782,0.059054940139826956
rmse,selected,surface_speed,1320,15,0.05524080136256675,0.050634854977369505,0.060523113741564216
rmse,selected,surface_speed,1330,15,0.056798532409247086,0.051910396534448434,0.062133692394801245
rmse,selected,surface_speed,1340,15,0.05836596186358925,0.05305329582941688,0.06363822618854428
rmse,selected,surface_speed,1350,15,0.059983568578483866,0.0544262118221986,0.06535143292921583
rmse,selected,surface_speed,1360,15,0.06168415753916287,0.0558796713225165,0.06758670835248819
rmse,selected,surface_speed,1370,15,0.06342204505257511,0.057254217310299095,0.0698276885077516
rmse,selected,surface_speed,1380,15,0.06521825101542689,0.058870502849001256,0.07197958180804832
rmse,selected,surface_speed,1390,15,0.06706663853369732,0.060195446655668644,0.07407585426813149
rmse,selected,surface_speed,1400,15,0.06892179573339967,0.061581841845080316,0.07593566814761749
rmse,selected,surface_speed,1410,15,0.07083310929232131,0.06315814607147105,0.07771159750552482
rmse,selected,surface_speed,1420,15,0.07281043754759396,0.0647205899772565,0.07962131796984942
rmse,selected,surface_speed,1430,15,0.0748325685492776,0.06677306320847261,0.08198565826693506
rmse,selected,surface_speed,1440,15,0.07693647674701756,0.06893793512508171,0.08438833818631998
rmse,selected,surface_speed,1450,15,0.07912389976238923,0.071083230714965,0.08689767008522355
rmse,selected,surface_speed,1460,15,0.08136297107948484,0.07304282353355072,0.08946067229852064
rmse,selected,surface_speed,1470,15,0.083671171995059,0.07486905002456022,0.0921507445956841
rmse,selected,surface_speed,1480,15,0.08610691563073461,0.07686928048955824,0.09495164029145835
rmse,selected,surface_speed,1490,15,0.08865304261072905,0.07890893886531535,0.0977253136754099
rmse,selected,surface_speed,1500,15,0.09130257022501179,0.08096508416868507,0.10062836198243749
rmse,selected,surface_speed,1510,15,0.09404205462004317,0.08318153277145406,0.1037645889999558
rmse,selected,surface_speed,1520,15,0.09685061261079456,0.08535889724946176,0.10688333185737141
rmse,selected,surface_speed,1530,15,0.0997823673091828,0.08767768349176798,0.1100825032817737
rmse,selected,surface_speed,1540,15,0.1028275714166947,0.09015618598983957,0.11357041147564124
rmse,selected,surface_speed,1550,15,0.10595626111229058,0.09262569704295445,0.11703790088475406
rmse,selected,surface_speed,1560,15,0.10922325553889842,0.09528562858121004,0.12058925721544435
rmse,selected,surface_speed,1570,15,0.11260355521761653,0.09816849759141051,0.12416446125618381
rmse,selected,surface_speed,1580,15,0.11602705025571217,0.10095564196375342,0.12793279044515007
rmse,selected,surface_speed,1590,15,0.11952934371865773,0.10382904062904538,0.1318476744766693
rmse,selected,surface_speed,1600,15,0.12312314952935907,0.10685925163129137,0.13577298501938204
rmse,selected,surface_speed,1610,15,0.12680375433329755,0.10994490671433813,0.13977222448465698
