metric,model_or_method,field,lead_days,mean,p10,p90
rmse,model,surface_speed,0,0.0,0.0,0.0
rmse,model,surface_speed,10,0.0014653793225685755,0.0013838506070896982,0.0015403872355818748
rmse,model,surface_speed,20,0.0017521614286427696,0.0014979970874264836,0.001996840164065361
rmse,model,surface_speed,30,0.00194645959418267,0.0016444754786789418,0.0022264210972934963
rmse,model,surface_speed,40,0.0021976462953413527,0.0018564489902928472,0.0026222145184874534
rmse,model,surface_speed,50,0.00240648304267476,0.0019760542083531616,0.002932135481387377
rmse,model,surface_speed,60,0.002635208082695802,0.0021685713436454535,0.0035442157182842492
rmse,model,surface_speed,70,0.0029298796163251,0.0023314423859119417,0.003962642885744571
rmse,model,surface_speed,80,0.0032092528107265633,0.002630329271778464,0.004228599369525909
rmse,model,surface_speed,90,0.003572301504512628,0.0028416144661605356,0.004523695539683103
rmse,model,surface_speed,100,0.003987635749702652,0.003196425177156925,0.005029468890279531
rmse,model,surface_speed,110,0.004431878651181857,0.003597861062735319,0.005535186547785997
rmse,model,surface_speed,120,0.004881101024026672,0.003991740942001343,0.00613228864967823
rmse,model,surface_speed,130,0.0053308754848937195,0.004394532274454832,0.0067322710528969765
rmse,model,surface_speed,140,0.005847913430382808,0.0048519158735871315,0.007315056584775448
rmse,model,surface_speed,150,0.006321894532690445,0.005352967046201229,0.0077058300375938416
rmse,model,surface_speed,160,0.0067115060053765776,0.005861514247953892,0.008028333261609077
rmse,model,surface_speed,170,0.007076239741096894,0.006335209310054779,0.008265196904540062
rmse,model,surface_speed,180,0.007428299759825071,0.006841001752763987,0.008522084914147854
rmse,model,surface_speed,190,0.00775629673153162,0.007179144117981195,0.008868378959596157
rmse,model,surface_speed,200,0.008014791489889225,0.00744175361469388,0.008966358006000518
rmse,model,surface_speed,210,0.008308896391342083,0.007833597250282764,0.009042668342590331
rmse,model,surface_speed,220,0.008615322783589363,0.008175653219223023,0.009191729500889778
rmse,model,surface_speed,230,0.008912741454939048,0.00851763878017664,0.00941403191536665
rmse,model,surface_speed,240,0.009191762904326122,0.008759567700326442,0.009789959900081158
rmse,model,surface_speed,250,0.009430596108237902,0.009097522310912608,0.010030202940106392
rmse,model,surface_speed,260,0.009678920544683934,0.00935885552316904,0.01025958377867937
rmse,model,surface_speed,270,0.009843686347206433,0.009462631680071354,0.010468909330666066
rmse,model,surface_speed,280,0.009986200618247192,0.009508334659039974,0.010648725740611552
rmse,model,surface_speed,290,0.010148175433278084,0.009641166217625141,0.010725194588303566
rmse,model,surface_speed,300,0.010252731231351694,0.009772363491356373,0.010787642933428288
rmse,model,surface_speed,310,0.010399202754100164,0.009921740368008613,0.0107929902151227
rmse,model,surface_speed,320,0.010548965198298295,0.010039186663925647,0.010893496125936509
rmse,model,surface_speed,330,0.010659427506228288,0.010250831209123134,0.011201645061373711
rmse,model,surface_speed,340,0.010778104575971762,0.01041286252439022,0.011345344968140126
rmse,model,surface_speed,350,0.010836965714891752,0.01040564477443695,0.011349254474043845
rmse,model,surface_speed,360,0.01083842646330595,0.010512370243668556,0.011316890455782413
rmse,model,surface_speed,370,0.01086656308422486,0.010432165302336215,0.011180851981043816
rmse,model,surface_speed,380,0.010983284004032612,0.010473065450787545,0.011333736777305602
rmse,model,surface_speed,390,0.01103594054778417,0.010432093963027,0.011318380758166314
