scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
fixed_S2_validation_figure,surface_speed,climatology,130,0.0034570478989432254,0.8796365367569996,1.0
fixed_S2_validation_figure,surface_speed,climatology,140,0.003292318573221564,0.9706395705701011,1.0
fixed_S2_validation_figure,surface_speed,climatology,150,0.003415393643081188,3.412922543322494,1.0
fixed_S2_validation_figure,surface_speed,climatology,160,0.0033197909127920867,1.3816803300359308,1.0
fixed_S2_validation_figure,surface_speed,climatology,170,0.003163586494823297,0.8328601060366082,1.0
fixed_S2_validation_figure,surface_speed,climatology,180,0.003376684927692016,0.7990604611294654,1.0
fixed_S2_validation_figure,surface_speed,climatology,190,0.003330260282382369,0.6561950330599671,1.0
fixed_S2_validation_figure,surface_speed,climatology,200,0.0031839954822013776,0.6639728317175816,1.0
fixed_S2_validation_figure,surface_speed,persistence,0,0.0,nan,0.0
fixed_S2_validation_figure,surface_speed,persistence,10,0.0030537291429936888,1.0,0.9430252014237291
fixed_S2_validation_figure,surface_speed,persistence,20,0.0038524154418458543,1.0,1.2055379862803943
fixed_S2_validation_figure,surface_speed,persistence,30,0.0045241418915490305,1.0,1.3299512994698197
fixed_S2_validation_figure,surface_speed,persistence,40,0.00509428046643734,1.0,1.5632113726100183
fixed_S2_validation_figure,surface_speed,persistence,50,0.004717271650830904,1.0,1.4636149287089995
fixed_S2_validation_figure,surface_speed,persistence,60,0.005167705720911423,1.0,1.4524508825849005
fixed_S2_validation_figure,surface_speed,persistence,70,0.005347102445860704,1.0,1.509475686969619
fixed_S2_validation_figure,surface_speed,persistence,80,0.005053528429319461,1.0,1.4931630495661605
fixed_S2_validation_figure,surface_speed,persistence,90,0.005577923295398553,1.0,1.5594142968674354
fixed_S2_validation_figure,surface_speed,persistence,100,0.0056702135441203914,1.0,1.5741919817464765
fixed_S2_validation_figure,surface_speed,persistence,110,0.005466547297934691,1.0,1.5405918426603762
fixed_S2_validation_figure,surface_speed,persistence,120,0.004858929136147102,1.0,1.3327146890534238
fixed_S2_validation_figure,surface_speed,persistence,130,0.003930086751158039,1.0,1.1368331784929608
fixed_S2_validation_figure,surface_speed,persistence,140,0.0033919064017633596,1.0,1.0302485395404333
fixed_S2_validation_figure,surface_speed,persistence,150,0.0010007240421449144,1.0,0.2930040126332594
fixed_S2_validation_figure,surface_speed,persistence,160,0.002402719963962833,1.0,0.7237564133043675
fixed_S2_validation_figure,surface_speed,persistence,170,0.0037984608362118403,1.0,1.2006818345025223
fixed_S2_validation_figure,surface_speed,persistence,180,0.004225819061199824,1.0,1.251469755600857
fixed_S2_validation_figure,surface_speed,persistence,190,0.005075107421725988,1.0,1.5239371674863225
fixed_S2_validation_figure,surface_speed,persistence,200,0.00479537012676398,1.0,1.5060857195213468
fixed_S2_validation_figure,sst,model,0,0.0,nan,0.0
fixed_S2_validation_figure,sst,model,10,0.004684813631077607,0.19928842861905063,0.12835289602566596
fixed_S2_validation_figure,sst,model,20,0.006248447609444459,0.17157075306783565,0.171884126695534
fixed_S2_validation_figure,sst,model,30,0.007427457999438047,0.16772484938164237,0.198643438180419
fixed_S2_validation_figure,sst,model,40,0.008505281868080299,0.171147501492896,0.22863131046212984
fixed_S2_validation_figure,sst,model,50,0.00947242354353269,0.18751422051518138,0.2625383470279392
fixed_S2_validation_figure,sst,model,60,0.010490394135316213,0.2058669441353753,0.2796374426285999
fixed_S2_validation_figure,sst,model,70,0.011869604947666328,0.23484716437506703,0.3110356473793298
fixed_S2_validation_figure,sst,model,80,0.01282658043007056,0.26045369916211353,0.35463689459013714
fixed_S2_validation_figure,sst,model,90,0.013810558927555878,0.2731345365018066,0.3780996661233259
fixed_S2_validation_figure,sst,model,100,0.015028364459673564,0.28223900619939746,0.39258662868837085
fixed_S2_validation_figure,sst,model,110,0.016143177698055903,0.304354308223148,0.42659995824242547
fixed_S2_validation_figure,sst,model,120,0.017091930533448856,0.3690460920433777,0.45547910511554657
fixed_S2_validation_figure,sst,model,130,0.01828599236905575,0.47794713975930114,0.48366801402720816
fixed_S2_validation_figure,sst,model,140,0.019555394351482392,0.6874285126486197,0.526176546129063
fixed_S2_validation_figure,sst,model,150,0.021004468202590942,2.852091625871,0.5719276374245178
fixed_S2_validation_figure,sst,model,160,0.02251910467942556,1.2558534427231174,0.6112710715988212
fixed_S2_validation_figure,sst,model,170,0.023966507613658906,0.7112755534607696,0.6567797383328227
fixed_S2_validation_figure,sst,model,180,0.02559255560239156,0.6079631847110497,0.6867474432897205
fixed_S2_validation_figure,sst,model,190,0.02722016821304957,0.5595538761256375,0.7214963204323387
fixed_S2_validation_figure,sst,model,200,0.028797152762611706,0.5704366798284725,0.7896681145445728
fixed_S2_validation_figure,sst,climatology,0,0.0365861768523852,nan,1.0
fixed_S2_validation_figure,sst,climatology,10,0.03649947742621104,1.5526601642022952,1.0
fixed_S2_validation_figure,sst,climatology,20,0.0363526739180088,0.9981768320686562,1.0
fixed_S2_validation_figure,sst,climatology,30,0.03739090537031491,0.8443513207282757,1.0
fixed_S2_validation_figure,sst,climatology,40,0.03720086216926575,0.7485742051119662,1.0
fixed_S2_validation_figure,sst,climatology,50,0.036080152293046314,0.7142355493509152,1.0
fixed_S2_validation_figure,sst,climatology,60,0.03751426860690117,0.7361923432006107,1.0
fixed_S2_validation_figure,sst,climatology,70,0.03816155816117923,0.7550490316907452,1.0
fixed_S2_validation_figure,sst,climatology,80,0.03616820648312569,0.7344235840524332,1.0
fixed_S2_validation_figure,sst,climatology,90,0.03652623941500981,0.7223876691092275,1.0
fixed_S2_validation_figure,sst,climatology,100,0.038280377785364784,0.718921597361469,1.0
fixed_S2_validation_figure,sst,climatology,110,0.03784148916602135,0.7134419550275519,1.0
fixed_S2_validation_figure,sst,climatology,120,0.03752516930301984,0.8102371500658797,1.0
fixed_S2_validation_figure,sst,climatology,130,0.037806908537944155,0.9881718986949896,1.0
fixed_S2_validation_figure,sst,climatology,140,0.037165081749359764,1.3064598141172263,1.0
fixed_S2_validation_figure,sst,climatology,150,0.036725744356711706,4.986805041830865,1.0
fixed_S2_validation_figure,sst,climatology,160,0.036839801073074344,2.0544951349298226,1.0
fixed_S2_validation_figure,sst,climatology,170,0.03649093632896741,1.0829742635883985,1.0
fixed_S2_validation_figure,sst,climatology,180,0.03726632818579674,0.8852791381337057,1.0
fixed_S2_validation_figure,sst,climatology,190,0.037727383275826774,0.7755464030507303,1.0
fixed_S2_validation_figure,sst,climatology,200,0.03646741236249606,0.722375222352066,1.0
fixed_S2_validation_figure,sst,persistence,0,0.0,nan,0.0
fixed_S2_validation_figure,sst,persistence,10,0.02350770520667235,1.0,0.6440559389979368
fixed_S2_validation_figure,sst,persistence,20,0.03641907200217247,1.0,1.0018264979438216
fixed_S2_validation_figure,sst,persistence,30,0.04428358723719915,1.0,1.1843411331878693
fixed_S2_validation_figure,sst,persistence,40,0.04969562391440074,1.0,1.3358729076837845
fixed_S2_validation_figure,sst,persistence,50,0.05051576097806295,1.0,1.400098330178024
fixed_S2_validation_figure,sst,persistence,60,0.05095715671777725,1.0,1.3583406690328785
fixed_S2_validation_figure,sst,persistence,70,0.05054182782769203,1.0,1.3244173001066537
fixed_S2_validation_figure,sst,persistence,80,0.04924706568320592,1.0,1.3616120474810436
fixed_S2_validation_figure,sst,persistence,90,0.05056321000059446,1.0,1.3842982691455612
fixed_S2_validation_figure,sst,persistence,100,0.05324694365262985,1.0,1.3909722613288062
fixed_S2_validation_figure,sst,persistence,110,0.053040739893913266,1.0,1.4016557239914236
fixed_S2_validation_figure,sst,persistence,120,0.04631380985180537,1.0,1.2342065528823145
fixed_S2_validation_figure,sst,persistence,130,0.03825944513082504,1.0,1.011969679891354
fixed_S2_validation_figure,sst,persistence,140,0.028447167947888374,1.0,0.7654272938166866
fixed_S2_validation_figure,sst,persistence,150,0.007364583946764469,1.0,0.20052919486759363
fixed_S2_validation_figure,sst,persistence,160,0.01793131579955419,1.0,0.4867375848199115
fixed_S2_validation_figure,sst,persistence,170,0.03369510943690936,1.0,0.9233829774370942
fixed_S2_validation_figure,sst,persistence,180,0.04209556803107262,1.0,1.1295872193578878
fixed_S2_validation_figure,sst,persistence,190,0.048646197219689685,1.0,1.2894134974597873
fixed_S2_validation_figure,sst,persistence,200,0.05048264563083649,1.0,1.3843221210494776
fixed_S2_validation_figure,phihyd_surface,model,0,0.0,nan,0.0
fixed_S2_validation_figure,phihyd_surface,model,10,0.004062617756426334,0.3156186633650908,0.05751728439382825
fixed_S2_validation_figure,phihyd_surface,model,20,0.006900455616414547,0.41081209484654146,0.09765001091357292
fixed_S2_validation_figure,phihyd_surface,model,30,0.009752862714231014,0.45262386694880413,0.13718138624999446
fixed_S2_validation_figure,phihyd_surface,model,40,0.012567589245736598,0.4922624366338722,0.17749505360870763
fixed_S2_validation_figure,phihyd_surface,model,50,0.015346458616356055,0.6024066114688927,0.21673588508566163
fixed_S2_validation_figure,phihyd_surface,model,60,0.01807993936041991,0.606086621636811,0.252788444222563
fixed_S2_validation_figure,phihyd_surface,model,70,0.020772611349821092,0.6537682826842497,0.29029370128718046
fixed_S2_validation_figure,phihyd_surface,model,80,0.023450694357355435,0.7843424664413862,0.3291602348949597
fixed_S2_validation_figure,phihyd_surface,model,90,0.02613887799282869,0.8286086157010987,0.36523568820147245
fixed_S2_validation_figure,phihyd_surface,model,100,0.02876122643550237,0.905246123475842,0.40024570625101796
fixed_S2_validation_figure,phihyd_surface,model,110,0.03129556079705556,1.0973767101181875,0.43542156229495543
fixed_S2_validation_figure,phihyd_surface,model,120,0.033884697655836744,1.442159322968706,0.4707094554535052
fixed_S2_validation_figure,phihyd_surface,model,130,0.036568205306927365,2.0285072532720956,0.5093296230938368
fixed_S2_validation_figure,phihyd_surface,model,140,0.03928919086853663,2.726006953990269,0.5481771224511459
fixed_S2_validation_figure,phihyd_surface,model,150,0.04197091634074847,9.556134070050303,0.5831907046353916
fixed_S2_validation_figure,phihyd_surface,model,160,0.044624467939138414,4.374892488006064,0.6205625329290564
fixed_S2_validation_figure,phihyd_surface,model,170,0.047271762043237686,2.883752603095474,0.658765224336356
fixed_S2_validation_figure,phihyd_surface,model,180,0.04994357799490293,2.5306905589057274,0.6917813947009017
fixed_S2_validation_figure,phihyd_surface,model,190,0.05258701269825299,2.087733166831289,0.729199675980561
fixed_S2_validation_figure,phihyd_surface,model,200,0.05518824035922686,2.180247459332728,0.7678572099913169
fixed_S2_validation_figure,phihyd_surface,climatology,0,0.07083700944979986,nan,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,10,0.07063298970460892,5.487370738924481,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,20,0.07066518018643062,4.206984628093271,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,30,0.07109465052684148,3.2994554095258852,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,40,0.07080529282490412,2.7733867881134158,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,50,0.07080718825260798,2.7794502568451023,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,60,0.07152201682329178,2.3976041448445047,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,70,0.07155722379684448,2.2520925524232878,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,80,0.07124400784571966,2.3828591162953883,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,90,0.07156715194384257,2.268695646313782,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,100,0.07185892562071482,2.261726008143878,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,110,0.07187416404485703,2.520262672188986,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,120,0.07198643932739894,3.063799348537108,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,130,0.07179673761129379,3.982700320767268,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,140,0.0716724380850792,4.972857936502473,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,150,0.07196773886680603,16.385950588881144,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,160,0.07190970381100972,7.049881769942769,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,170,0.07175813217957815,4.377511891282031,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,180,0.07219560742378235,3.658222927489826,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,190,0.07211606701215108,2.863047304599932,1.0
fixed_S2_validation_figure,phihyd_surface,climatology,200,0.07187305092811584,2.839391791811634,1.0
fixed_S2_validation_figure,phihyd_surface,persistence,0,0.0,nan,0.0
fixed_S2_validation_figure,phihyd_surface,persistence,10,0.012871918641030789,1.0,0.18223663892554834
fixed_S2_validation_figure,phihyd_surface,persistence,20,0.01679710919658343,1.0,0.2376999415025743
fixed_S2_validation_figure,phihyd_surface,persistence,30,0.021547389402985572,1.0,0.30308031959240656
