phase,arm,field,lead_days,mean_rmse,p10,p90
training,0.0,surface_speed,500,0.006738490721561317,0.004938376236868721,0.010444581080827419
training,0.0,surface_speed,510,0.00696133243903341,0.005052786161561779,0.010573931727100512
training,0.0,surface_speed,520,0.0071937623813409625,0.005369000429178937,0.010763700375876673
training,0.0,surface_speed,530,0.00745150832268548,0.005446861949093095,0.010981344656587391
training,0.0,surface_speed,540,0.007739672292040656,0.005604712416867434,0.011234611173211678
training,0.0,surface_speed,550,0.008024417650587916,0.0057327735403808824,0.011584131525212345
training,0.0,surface_speed,560,0.008319424990673459,0.00603399022687765,0.011912129763628314
training,0.0,surface_speed,570,0.008628285462611107,0.006214343625932592,0.012281729932046704
training,0.0,surface_speed,580,0.008932555616516976,0.006353610640348279,0.012620682361827024
training,0.0,surface_speed,590,0.009253118121676524,0.006613615427350869,0.012988941452959736
training,0.0,surface_speed,600,0.009586425638105262,0.0067317793940420735,0.013419117269655759
training,0.0,surface_speed,610,0.009899406636295014,0.006769935121075548,0.01376514542934807
training,0.0,surface_speed,620,0.010202304971299916,0.006842442831434887,0.014088157028344686
training,0.0,surface_speed,630,0.010482850135531675,0.006918916356402087,0.014440882226622374
training,0.0,surface_speed,640,0.010782509852262043,0.007025015584495288,0.01486620983581564
training,0.0,surface_speed,650,0.011048991200158502,0.007050477473562957,0.014840009380430823
training,0.0,surface_speed,660,0.011308968036926758,0.00719177698983402,0.01488112102571861
training,0.0,surface_speed,670,0.011562105414581178,0.007348959194252631,0.015371532859149599
training,0.0,surface_speed,680,0.011766609422876561,0.007422080899282403,0.015756871525974065
training,0.0,surface_speed,690,0.011960980090654461,0.0074658518909801585,0.016151921113854568
training,0.0,surface_speed,700,0.012171381092307714,0.00763643398736535,0.016469670923200702
training,0.0,surface_speed,710,0.012370462427639924,0.007804198614827583,0.01677395695220965
training,0.0,surface_speed,720,0.012566399216597173,0.007827812248455222,0.017186513061746112
training,0.0,surface_speed,730,0.012785629340427315,0.008114549429978152,0.017512047040113058
training,0.0,surface_speed,740,0.013029524277964003,0.008450695681135007,0.017844794421033653
training,0.0,surface_speed,750,0.013289102944552189,0.008504272075805982,0.018346520308448667
training,0.0,surface_speed,760,0.013568618775316732,0.008698581635742931,0.018847157980195768
training,0.0,surface_speed,770,0.01388929879389184,0.009203513963957426,0.01929937465560511
training,0.0,surface_speed,780,0.014233840683814749,0.009557809570517179,0.019822400611442425
training,0.0,surface_speed,790,0.014567902025845746,0.009691678087557923,0.02042272238411635
training,0.0,surface_speed,800,0.014912828429364791,0.010035692965459928,0.020905666614839398
training,0.0,surface_speed,810,0.01526315500803134,0.010318182597404692,0.02134752517358912
training,0.0,surface_speed,820,0.015578150595955567,0.010570452025862773,0.02174601261504087
training,0.0,surface_speed,830,0.015891833789329082,0.010743832535084688,0.022186450905001067
training,0.0,surface_speed,840,0.016255704630549924,0.011181302728857949,0.022607193903573575
training,0.0,surface_speed,850,0.016592864031448492,0.011529596770232629,0.022925151012894916
training,0.0,surface_speed,860,0.016882868573446758,0.011860029040684119,0.023258716558057946
training,0.0,surface_speed,870,0.017218597990409302,0.012245218996675149,0.02367654436214344
training,0.0,surface_speed,880,0.017559566529141583,0.01271598630566218,0.02414360507090371
training,0.0,surface_speed,890,0.0179386407729162,0.013110513464544248,0.02461934289375343
training,0.0,surface_speed,900,0.018327425042336188,0.01350016620166816,0.025117095870456255
training,0.0,surface_speed,910,0.018691286840268946,0.014041254675765214,0.02568461634046819
training,0.0,surface_speed,920,0.019035212712753373,0.014437214991901415,0.026343341233900735
training,0.0,surface_speed,930,0.019447776075396418,0.014654645685429206,0.027073986582004682
training,0.0,surface_speed,940,0.019881952815640307,0.01503247600651147,0.027698063797110293
training,0.0,surface_speed,950,0.020343814646975534,0.015399511446117248,0.028292218741679736
training,0.0,surface_speed,960,0.020798312612380115,0.015559480861939328,0.02891045341017353
training,0.0,surface_speed,970,0.021291028989095143,0.01578672023523806,0.029619525668188876
training,0.0,surface_speed,980,0.021775387764452377,0.016024426215168884,0.030196652627363686
training,0.0,surface_speed,990,0.022219995214452493,0.016272717799350484,0.030694015212102237
training,0.0,surface_speed,1000,0.022625892484794054,0.016730141075117336,0.031225329175156566
training,0.0,phihyd_surface,0,1.4711145145663378e-09,1.1952336766238244e-09,1.8222471272909608e-09
training,0.0,phihyd_surface,10,0.0016721280414581294,0.0012111671894398783,0.002258779082205043
training,0.0,phihyd_surface,20,0.002616445943989524,0.001829165190844713,0.0035533334969530374
training,0.0,phihyd_surface,30,0.003445342840487361,0.0023112655517171783,0.004749501196683991
training,0.0,phihyd_surface,40,0.004207945818710801,0.0027481704843846937,0.005873234562058674
training,0.0,phihyd_surface,50,0.004897943589138788,0.0031933986388307336,0.006917621431050791
training,0.0,phihyd_surface,60,0.0055462256449650225,0.003656424075098462,0.007792636549199205
training,0.0,phihyd_surface,70,0.006152783221858791,0.004039995344603432,0.008603065880133362
training,0.0,phihyd_surface,80,0.0067260539516895215,0.004347413485539257,0.009392267795545623
training,0.0,phihyd_surface,90,0.007268857305075413,0.0047139062305166235,0.010067270054282842
training,0.0,phihyd_surface,100,0.007790108314966964,0.005305291824072124,0.01073039419562991
training,0.0,phihyd_surface,110,0.008281248988127926,0.005754507568943145,0.011499736509115418
training,0.0,phihyd_surface,120,0.008746939033211148,0.00618048733509619,0.012308707384169486
training,0.0,phihyd_surface,130,0.009213529817541855,0.0065313054889494316,0.013097314901035446
training,0.0,phihyd_surface,140,0.009670102871837885,0.007004375454581349,0.013583530350720362
training,0.0,phihyd_surface,150,0.010078468546306743,0.007423883378040238,0.013894500636000737
training,0.0,phihyd_surface,160,0.01048666082972467,0.007912696216115452,0.014083074864597775
training,0.0,phihyd_surface,170,0.010890404935115203,0.008465289368915531,0.014303168504906878
training,0.0,phihyd_surface,180,0.011289269476735411,0.009076990465402548,0.01450268543323091
training,0.0,phihyd_surface,190,0.011694456147485733,0.009609490103501013,0.014645135065599469
training,0.0,phihyd_surface,200,0.012100953806847827,0.010145830103229198,0.01477316866054879
training,0.0,phihyd_surface,210,0.012471167048800656,0.010618295810011284,0.014828631543774111
training,0.0,phihyd_surface,220,0.012875333958266417,0.010949116927478847,0.014837707749716683
training,0.0,phihyd_surface,230,0.013318427496644603,0.011222458651055598,0.0149298186385167
training,0.0,phihyd_surface,240,0.013734438403044108,0.011562253065442325,0.015377331789688083
training,0.0,phihyd_surface,250,0.014098157298019753,0.011967200232720675,0.015833757637009217
training,0.0,phihyd_surface,260,0.014487840169790597,0.012399916836737515,0.01659435343941724
training,0.0,phihyd_surface,270,0.01492829827308462,0.01285972497866718,0.017441749684281565
training,0.0,phihyd_surface,280,0.015342779901941023,0.013215122929364952,0.018192897642828932
training,0.0,phihyd_surface,290,0.01578224645382852,0.013308595722958083,0.018592992130364056
