method,field,lead_days,rmse_ratio_to_persistence
static_bias_conservation,phihyd_surface,80,2.6091629188368333
static_bias_conservation,phihyd_surface,90,3.5284000092003467
static_bias_conservation,ssh,10,0.34791907935973987
static_bias_conservation,ssh,20,0.4650842047374496
static_bias_conservation,ssh,30,0.6638556041772228
static_bias_conservation,ssh,40,0.8574553563591595
static_bias_conservation,ssh,50,1.126794469663663
static_bias_conservation,ssh,60,1.4845727682623848
static_bias_conservation,ssh,70,1.9714459593949698
static_bias_conservation,ssh,80,2.631397818837396
static_bias_conservation,ssh,90,3.554601120086537
damped_persistence,sst,10,0.9573075363773286
damped_persistence,sst,20,0.8934386433905286
damped_persistence,sst,30,0.8391731982570703
damped_persistence,sst,40,0.788510856359904
damped_persistence,sst,50,0.7558378919067297
damped_persistence,sst,60,0.7368101073644092
damped_persistence,sst,70,0.726460728163631
damped_persistence,sst,80,0.7199885442106939
damped_persistence,sst,90,0.7099960522543552
damped_persistence,phihyd_surface,10,0.9887396359719672
damped_persistence,phihyd_surface,20,0.9775674702179481
damped_persistence,phihyd_surface,30,0.9686012558528951
damped_persistence,phihyd_surface,40,0.9563675109292438
damped_persistence,phihyd_surface,50,0.9469223921221778
damped_persistence,phihyd_surface,60,0.9411287044586975
damped_persistence,phihyd_surface,70,0.9367928924064552
damped_persistence,phihyd_surface,80,0.9355327434974298
damped_persistence,phihyd_surface,90,0.9397295321548658
damped_persistence,ssh,10,0.9941578907399676
damped_persistence,ssh,20,0.9850136449294511
damped_persistence,ssh,30,0.9776665232929286
damped_persistence,ssh,40,0.9636685823973952
damped_persistence,ssh,50,0.9530497123886633
damped_persistence,ssh,60,0.946050325668097
damped_persistence,ssh,70,0.9404063178648647
damped_persistence,ssh,80,0.9379465879189428
damped_persistence,ssh,90,0.9402897956213923
