field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
sst,persistence,10,0.02126200570448957,1.0,0.5426209865933002
sst,persistence,20,0.03522640228685406,1.0,0.9001781530154109
sst,persistence,30,0.04509611564377944,1.0,1.1534317700018888
sst,persistence,40,0.05337705723941326,1.0,1.3664374754651962
sst,persistence,50,0.057734857665167914,1.0,1.4794538785394342
sst,persistence,60,0.05915493487070004,1.0,1.517044118144268
sst,persistence,70,0.05897258225552462,1.0,1.5145661638308283
sst,persistence,80,0.058395823215444884,1.0,1.5010251011271203
sst,persistence,90,0.05845660299614624,1.0,1.502461953733359
sst,climatology,10,0.03918389857712167,1.8429069732046874,1.0
sst,climatology,20,0.039132700753570705,1.110891212645193,1.0
sst,climatology,30,0.03909734135700597,0.8669780267959522,1.0
sst,climatology,40,0.03906293423432443,0.7318300456151903,1.0
sst,climatology,50,0.039024439019461475,0.675925092701932,1.0
sst,climatology,60,0.03899354947110017,0.6591766106467986,1.0
sst,climatology,70,0.038936946872207855,0.6602550775798901,1.0
sst,climatology,80,0.03890396181356024,0.6662113773108123,1.0
sst,climatology,90,0.03890721016322021,0.6655742579804915,1.0
sst,fine_tune_1920,10,0.014765091592239009,0.6944355014033926,0.37681527689692196
sst,fine_tune_1920,20,0.025220958243503615,0.7159674734344268,0.6444982778553127
sst,fine_tune_1920,30,0.034868128625331105,0.7731958313385427,0.8918286362988972
sst,fine_tune_1920,40,0.0450306407969307,0.8436328850980638,1.1527715897328181
sst,fine_tune_1920,50,0.05674807336181402,0.9829083443995527,1.4541675623706922
sst,fine_tune_1920,60,0.07145394548359844,1.2079118274710536,1.8324555331018557
sst,fine_tune_1920,70,0.09130271626291452,1.5482231364281351,2.344886376494094
sst,fine_tune_1920,80,0.11843721616875243,2.0281795794160056,3.04434845829687
sst,fine_tune_1920,90,0.15541384671297337,2.6586191935104244,3.994474187714679
sst,fine_tune_2400,10,0.015623256039840204,0.7347969075439238,0.3987162229171899
sst,fine_tune_2400,20,0.027071289804384665,0.7684943124176847,0.6917817907549996
sst,fine_tune_2400,30,0.037697577538589634,0.8359384616708033,0.9641979794576108
sst,fine_tune_2400,40,0.04872527839960875,0.9128505938620823,1.247353260953809
sst,fine_tune_2400,50,0.0610420566259159,1.0572825342348295,1.5642007459857206
sst,fine_tune_2400,60,0.07609249005025184,1.2863253119384486,1.9514122484963141
sst,fine_tune_2400,70,0.09596771045967385,1.6273275951161776,2.4646953130311564
sst,fine_tune_2400,80,0.12284109708335665,2.1035938928397004,3.1575472357301035
sst,fine_tune_2400,90,0.1592918809917238,2.7249595910016384,4.094148110940776
sst,fine_tune_2880,10,0.014497054259603221,0.6818291021595437,0.36997478010183565
sst,fine_tune_2880,20,0.024641747244944175,0.6995249484827489,0.6296970761134014
sst,fine_tune_2880,30,0.03400828257823984,0.7541288665940997,0.8698361934051507
sst,fine_tune_2880,40,0.04392951691730155,0.823003724620178,1.1245831317684496
sst,fine_tune_2880,50,0.05547808393560074,0.9609114178014383,1.4216241239991647
sst,fine_tune_2880,60,0.06991311148222949,1.181864397873897,1.7929404332387122
sst,fine_tune_2880,70,0.08930148362285562,1.5142881693041303,2.2934896235173645
sst,fine_tune_2880,80,0.11564614488570779,1.9803838445610096,2.9726058605527044
sst,fine_tune_2880,90,0.1512937574888821,2.5881380329071835,3.8885789254533396
sst,fine_tune_3360,10,0.01512941321944473,0.7115703678063675,0.3861130150096486
sst,fine_tune_3360,20,0.025789988792880816,0.7321209978489696,0.6590393276274851
sst,fine_tune_3360,30,0.03534364202922141,0.7837402739607511,0.9039909314163144
sst,fine_tune_3360,40,0.045153398749729,0.845932711262097,1.1559141583904085
sst,fine_tune_3360,50,0.05623672385182646,0.9740514851178841,1.4410642475547495
sst,fine_tune_3360,60,0.07011072053401558,1.1852049315456528,1.7980081701969122
sst,fine_tune_3360,70,0.08903412398088861,1.5097545431385242,2.2866231467274796
sst,fine_tune_3360,80,0.11509179580542776,1.9708908868500647,2.958356692744638
sst,fine_tune_3360,90,0.15070107490928084,2.5779991854678217,3.8733456929209913
sst,fine_tune_3840,10,0.01490260780857945,0.7009031986776626,0.38032478517287316
sst,fine_tune_3840,20,0.025598469966401655,0.726684200048286,0.6541452410249475
sst,fine_tune_3840,30,0.03537765167032679,0.7844944329524928,0.9048608023570218
sst,fine_tune_3840,40,0.045466287592770875,0.8517945713799837,1.163924023731424
sst,fine_tune_3840,50,0.056745126388139194,0.9828573011685827,1.4540920462646605
sst,fine_tune_3840,60,0.07050109814714503,1.1918041715580494,1.8080195084419408
sst,fine_tune_3840,70,0.08888310508595573,1.5071937108134528,2.282744596736682
sst,fine_tune_3840,80,0.11400122675630782,1.952215423622217,2.930324353664462
sst,fine_tune_3840,90,0.14828183110113496,2.5366138896389594,3.811165860494126
sst,fine_tune_4320,10,0.01595721240327866,0.7505036272240873,0.4072390186461846
sst,fine_tune_4320,20,0.02748882826762619,0.7803473100596647,0.7024516002800533
sst,fine_tune_4320,30,0.03775280082460355,0.8371630302445167,0.9656104357550775
sst,fine_tune_4320,40,0.0479591500359001,0.898497454080091,1.2277405928651055
sst,fine_tune_4320,50,0.05896729837965082,1.0213465619267725,1.51103513237548
sst,fine_tune_4320,60,0.07224102510760227,1.2212172199243498,1.8526404004627297
sst,fine_tune_4320,70,0.09005065811453042,1.5269919455849226,2.312730333225129
sst,fine_tune_4320,80,0.11448754124619342,1.96054332214488,2.942824738386619
sst,fine_tune_4320,90,0.14804374117542196,2.532540954957334,3.805046431094943
sst,fine_tune_4800,10,0.01713473215457742,0.8058850323306678,0.4372901313240405
sst,fine_tune_4800,20,0.029446394945046417,0.8359183178929218,0.7524754074725994
sst,fine_tune_4800,30,0.04009323308451308,0.889061785303532,1.025472108663692
sst,fine_tune_4800,40,0.05045749462313122,0.9453030427813421,1.2916975033277054
sst,fine_tune_4800,50,0.061642320136781094,1.0676794337014637,1.5795824792264173
sst,fine_tune_4800,60,0.07511074474702278,1.269729142821283,1.9262351277533905
sst,fine_tune_4800,70,0.09299718529261924,1.5769563030098985,2.388404658378547
sst,fine_tune_4800,80,0.11725731792825239,2.007974397340792,3.0140199728291313
sst,fine_tune_4800,90,0.15025666452668332,2.5703967871104143,3.861923378631862
sst,fine_tune_5280,10,0.016271659079939126,0.7652927624087359,0.41526391377094035
sst,fine_tune_5280,20,0.02815077244821522,0.7991384478885784,0.7193669720239427
sst,fine_tune_5280,30,0.03867173183847357,0.8575401957886355,0.989114105876252
sst,fine_tune_5280,40,0.04903694865190321,0.9186896241199047,1.2553319307184727
sst,fine_tune_5280,50,0.06012413844604183,1.0413836783790218,1.5406791220255067
sst,fine_tune_5280,60,0.07331279552783128,1.239335242073671,1.880126239396765
sst,fine_tune_5280,70,0.0908032256833933,1.5397532583862181,2.3320581858000327
sst,fine_tune_5280,80,0.11466913105988943,1.9636529591650835,2.9474923816093384
sst,fine_tune_5280,90,0.14737961645479555,2.521179967719157,3.7879769800127314
sst,fine_tune_5760,10,0.015459897634745748,0.7271137939484852,0.3945472042379246
sst,fine_tune_5760,20,0.026322809993116945,0.7472466185665576,0.6726550809482551
sst,fine_tune_5760,30,0.03566559469327331,0.7908795288490224,0.9122255748185877
sst,fine_tune_5760,40,0.044830747824852114,0.8398879620465363,1.1476543865324775
sst,fine_tune_5760,50,0.0547763275258519,0.9487566046066322,1.4036416384751864
sst,fine_tune_5760,60,0.06704215323897424,1.1333315366759165,1.719313941621604
sst,fine_tune_5760,70,0.08406239114701748,1.4254487073803255,2.1589363804746324
sst,fine_tune_5760,80,0.10779795114088941,1.84598735329376,2.7708733536571515
sst,fine_tune_5760,90,0.14040931454963154,2.4019410529018947,3.608825047095342
phihyd_surface,persistence,10,0.009754924518832316,1.0,0.17787245838846022
phihyd_surface,persistence,20,0.014926056681131875,1.0,0.272929987631374
phihyd_surface,persistence,30,0.018731075685678257,1.0,0.343101726697543
phihyd_surface,persistence,40,0.02334490485696329,1.0,0.4286156814115875
phihyd_surface,persistence,50,0.026709982664841744,1.0,0.49152760670906565
phihyd_surface,persistence,60,0.029133702466195382,1.0,0.5370726886543459
phihyd_surface,persistence,70,0.030672949321430037,1.0,0.5670271488718385
phihyd_surface,persistence,80,0.03160226094639963,1.0,0.585344186617616
phihyd_surface,persistence,90,0.0318701282557514,1.0,0.5912464978342639
phihyd_surface,climatology,10,0.05484224262267903,5.622005840927179,1.0
phihyd_surface,climatology,20,0.05468822539680534,3.6639433016449066,1.0
phihyd_surface,climatology,30,0.05459335884424271,2.9145874887465584,1.0
phihyd_surface,climatology,40,0.054465820709312406,2.3330924260788497,1.0
phihyd_surface,climatology,50,0.05434075787456499,2.0344737230433902,1.0
phihyd_surface,climatology,60,0.05424536209277533,1.8619453588405963,1.0
phihyd_surface,climatology,70,0.05409432226033122,1.763583987097633,1.0
phihyd_surface,climatology,80,0.05398919416798486,1.7083965688263743,1.0
phihyd_surface,climatology,90,0.05390328462408097,1.691341942257587,1.0
phihyd_surface,fine_tune_1920,10,0.004010248693844511,0.411099920466073,0.07312335349660087
phihyd_surface,fine_tune_1920,20,0.007278249042833017,0.48762035401041315,0.13308621718886826
phihyd_surface,fine_tune_1920,30,0.011576889941675796,0.6180579340954488,0.21205674438726474
phihyd_surface,fine_tune_1920,40,0.017690603774799793,0.7577929266875149,0.32480193164105037
phihyd_surface,fine_tune_1920,50,0.026218113875775426,0.981584833085131,0.4824760437882521
phihyd_surface,fine_tune_1920,60,0.03786619158323716,1.2997383915475322,0.6980539924957082
phihyd_surface,fine_tune_1920,70,0.053557123064442914,1.7460702100474104,0.9900692129332351
phihyd_surface,fine_tune_1920,80,0.07454899440485019,2.3589766102903904,1.3808132452004094
phihyd_surface,fine_tune_1920,90,0.10267904388407866,3.2217957536944906,1.90487545610917
phihyd_surface,fine_tune_2400,10,0.004165482846157694,0.4270133344564629,0.07595391156442484
phihyd_surface,fine_tune_2400,20,0.007725993154949888,0.5176178357085007,0.1412734294976997
phihyd_surface,fine_tune_2400,30,0.012218048595995814,0.6522876102271964,0.223801005372365
phihyd_surface,fine_tune_2400,40,0.01834676037542522,0.7858999849362319,0.33684905756479944
phihyd_surface,fine_tune_2400,50,0.02662968348228821,0.9969936639959249,0.49004990956801936
phihyd_surface,fine_tune_2400,60,0.037715657141611535,1.2945713709190936,0.6952789268344601
phihyd_surface,fine_tune_2400,70,0.05247804678424641,1.7108901473514961,0.9701211622856385
phihyd_surface,fine_tune_2400,80,0.07213373098660399,2.2825496919017754,1.3360771928205346
phihyd_surface,fine_tune_2400,90,0.09844947624261732,3.0890831518649686,1.8264095950589923
phihyd_surface,fine_tune_2880,10,0.003892247190836955,0.3990033119500616,0.07097170000169514
phihyd_surface,fine_tune_2880,20,0.007084002858027816,0.4746064556342433,0.12953433406602427
phihyd_surface,fine_tune_2880,30,0.011238825400532396,0.6000096091184758,0.2058643329236669
phihyd_surface,fine_tune_2880,40,0.017140377559526652,0.7342234917875041,0.3146997022408962
phihyd_surface,fine_tune_2880,50,0.025401815289148578,0.9510232787453246,0.467454196126298
phihyd_surface,fine_tune_2880,60,0.036704154047011224,1.2598520249734835,0.676632114359131
phihyd_surface,fine_tune_2880,70,0.05189635453538762,1.6919258070540217,0.9593678664765262
phihyd_surface,fine_tune_2880,80,0.07215981729742553,2.283375149006436,1.33656036933805
phihyd_surface,fine_tune_2880,90,0.0991416243629323,3.1108009220214186,1.8392501506047625
phihyd_surface,fine_tune_3360,10,0.004056592453357384,0.41585072703801573,0.07396839114088039
phihyd_surface,fine_tune_3360,20,0.0077017483551538105,0.5159935085125089,0.14083010189618833
phihyd_surface,fine_tune_3360,30,0.012225985518415217,0.6527113404257493,0.22394638793514243
phihyd_surface,fine_tune_3360,40,0.01834285965844713,0.7857328942154949,0.33677743986167313
phihyd_surface,fine_tune_3360,50,0.026639277674257757,0.9973528627303433,0.4902264656622809
phihyd_surface,fine_tune_3360,60,0.03777744694854374,1.296692275634308,0.6964180068322401
phihyd_surface,fine_tune_3360,70,0.05260171557052268,1.71492199916269,0.9724073317228135
phihyd_surface,fine_tune_3360,80,0.07227349534492802,2.2869722982007703,1.33866593970735
phihyd_surface,fine_tune_3360,90,0.09847492164483777,3.0898815610215387,1.8268816516766528
phihyd_surface,fine_tune_3840,10,0.0038270191944859647,0.3923166383397159,0.06978232492818172
phihyd_surface,fine_tune_3840,20,0.006934222617807488,0.46457163911035415,0.1267955317162761
phihyd_surface,fine_tune_3840,30,0.011006166568646829,0.5875886016018889,0.20160266379740277
phihyd_surface,fine_tune_3840,40,0.01685616123765983,0.7220488299669379,0.30948145126871857
phihyd_surface,fine_tune_3840,50,0.025072632936967744,0.938698959545592,0.46139645300573484
phihyd_surface,fine_tune_3840,60,0.036335804979144425,1.2472086244893121,0.6698416892673634
phihyd_surface,fine_tune_3840,70,0.05148247470734296,1.6784324900694858,0.9517167894179609
phihyd_surface,fine_tune_3840,80,0.07168232045239872,2.26826557042797,1.3277160653549027
phihyd_surface,fine_tune_3840,90,0.0986048512160778,3.0939584059654113,1.829292071971931
phihyd_surface,fine_tune_4320,10,0.0038406293157971015,0.39371184352914224,0.07003049350518131
phihyd_surface,fine_tune_4320,20,0.00696410000824404,0.4665733325967738,0.12734185389476643
