scope,field,method,lead_days,mean_rmse,ratio_to_persistence,ratio_to_climatology
fixed_S2_validation_figure,surface_speed,climatology,120,0.0036458884831517937,0.7503481489427131,1.0
fixed_S2_validation_figure,surface_speed,climatology,130,0.0034570478989432254,0.8796365367569996,1.0
fixed_S2_validation_figure,surface_speed,climatology,140,0.003292318573221564,0.9706395705701011,1.0
fixed_S2_validation_figure,surface_speed,climatology,150,0.003415393643081188,3.412922543322494,1.0
fixed_S2_validation_figure,surface_speed,climatology,160,0.0033197909127920867,1.3816803300359308,1.0
fixed_S2_validation_figure,surface_speed,climatology,170,0.003163586494823297,0.8328601060366082,1.0
fixed_S2_validation_figure,surface_speed,climatology,180,0.003376684927692016,0.7990604611294654,1.0
fixed_S2_validation_figure,surface_speed,climatology,190,0.003330260282382369,0.6561950330599671,1.0
fixed_S2_validation_figure,surface_speed,climatology,200,0.0031839954822013776,0.6639728317175816,1.0
fixed_S2_validation_figure,surface_speed,persistence,0,0.0,nan,0.0
fixed_S2_validation_figure,surface_speed,persistence,10,0.0030537291429936888,1.0,0.9430252014237291
fixed_S2_validation_figure,surface_speed,persistence,20,0.0038524154418458543,1.0,1.2055379862803943
fixed_S2_validation_figure,surface_speed,persistence,30,0.0045241418915490305,1.0,1.3299512994698197
fixed_S2_validation_figure,surface_speed,persistence,40,0.00509428046643734,1.0,1.5632113726100183
fixed_S2_validation_figure,surface_speed,persistence,50,0.004717271650830904,1.0,1.4636149287089995
fixed_S2_validation_figure,surface_speed,persistence,60,0.005167705720911423,1.0,1.4524508825849005
fixed_S2_validation_figure,surface_speed,persistence,70,0.005347102445860704,1.0,1.509475686969619
fixed_S2_validation_figure,surface_speed,persistence,80,0.005053528429319461,1.0,1.4931630495661605
fixed_S2_validation_figure,surface_speed,persistence,90,0.005577923295398553,1.0,1.5594142968674354
fixed_S2_validation_figure,surface_speed,persistence,100,0.0056702135441203914,1.0,1.5741919817464765
fixed_S2_validation_figure,surface_speed,persistence,110,0.005466547297934691,1.0,1.5405918426603762
fixed_S2_validation_figure,surface_speed,persistence,120,0.004858929136147102,1.0,1.3327146890534238
fixed_S2_validation_figure,surface_speed,persistence,130,0.003930086751158039,1.0,1.1368331784929608
fixed_S2_validation_figure,surface_speed,persistence,140,0.0033919064017633596,1.0,1.0302485395404333
fixed_S2_validation_figure,surface_speed,persistence,150,0.0010007240421449144,1.0,0.2930040126332594
fixed_S2_validation_figure,surface_speed,persistence,160,0.002402719963962833,1.0,0.7237564133043675
fixed_S2_validation_figure,surface_speed,persistence,170,0.0037984608362118403,1.0,1.2006818345025223
fixed_S2_validation_figure,surface_speed,persistence,180,0.004225819061199824,1.0,1.251469755600857
fixed_S2_validation_figure,surface_speed,persistence,190,0.005075107421725988,1.0,1.5239371674863225
fixed_S2_validation_figure,surface_speed,persistence,200,0.00479537012676398,1.0,1.5060857195213468
fixed_S2_validation_figure,sst,model,0,0.0,nan,0.0
fixed_S2_validation_figure,sst,model,10,0.004845376250644525,0.2061186410177217,0.1327519348856474
fixed_S2_validation_figure,sst,model,20,0.0067960658731559915,0.18660733235461335,0.1869481702634611
fixed_S2_validation_figure,sst,model,30,0.0083361375456055,0.18824440533586603,0.22294559233175615
fixed_S2_validation_figure,sst,model,40,0.009554326844712099,0.19225690497757203,0.25683079067467424
fixed_S2_validation_figure,sst,model,50,0.010452515445649624,0.20691592570858724,0.2897026420718331
